Risk ID,Risk Name,"Type of Vote Manipulation (Adding, Subtracting, or Changing)",Probability of Manipulation Over 1 Election Cycle,Lower Bound of Impact (95% Chance Value Is Higher),Upper Bound of Impact (95% Chance Value Is Lower),Total Cost of Controls,Control Effectiveness
1,[REDACTED 1],Subtracting,0.05,10,100000,500000.0,0.9
2,[REDACTED 2],Subtracting,0.01,10,100,50000.0,0.95
3,[REDACTED 3],Subtracting/Changing,0.05,500,1000000,300000.0,0.95
4,[REDACTED 4],Adding/Subtracting/Changing,0.2,500,1000000,670000.0,0.95
5,[REDACTED 5],Subtracting,0.1,500,1000000,200000.0,0.2
6,[REDACTED 6],Adding/Subtracting/Changing,0.1,500,1000000,3000000.0,0.7
7,[REDACTED 7],Subtracting,0.2,500,1000000,1000000.0,0.9
8,[REDACTED 8],Adding/Subtracting/Changing,0.05,10,500,100000.0,0.95
9,[REDACTED 9],Adding/Subtracting/Changing,0.05,50,5000000,500000.0,0.8
10,[REDACTED 10],Adding/Subtracting/Changing,1.0,50,5000,5000000.0,0.1
11,[REDACTED 11],Adding/Subtracting/Changing,0.5,1,200000,3000000.0,0.7
12,[REDACTED 12],Adding,0.75,5,500,500000.0,0.25
13,[REDACTED 13],Subtracting,0.75,100,5000,2000000.0,0.75
14,[REDACTED 14],Adding/Subtracting/Changing,0.6,1,1000000,20000000.0,0.25
15,[REDACTED 15],Subtracting,0.8,1,10000,1000000.0,0.1
16,[REDACTED 16],Subtracting,0.75,10,500000,50000000.0,0.8
